spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
8,24,161,29,0,505,0.75,0.75,65,0,65,550,505,3,0.5,65,2,65,65,0,68,65,275,260,5,0,0,0,0,2,218492,bayes,application_1540980293743_2263,bigdata
4,14,90,39,0,752,0.875,0.625,96,1,96,325,752,4,0.25,96,1,96,33,0,98,96,162,140,3,1,0,0,1,2,187837,bayes,application_1540980293743_2264,bigdata
12,33,232,18,1,257,0.625,0.875,33,0,33,775,257,2,0.75,33,3,33,96,1,38,33,387,380,7,0,1,1,0,1,200765,bayes,application_1540980293743_2265,bigdata
6,9,54,44,0,628,0.9375,0.9375,17,1,80,662,133,2.5,0.375,49,2,112,112,1,83,49,331,80,4,0,1,1,0,2,171950,bayes,application_1540980293743_2266,bigdata
14,28,197,23,1,133,0.6875,0.6875,80,0,17,212,628,4.5,0.875,112,1,49,49,0,23,112,106,320,8,1,0,0,1,1,177297,bayes,application_1540980293743_2267,bigdata
2,19,125,13,0,381,0.5625,0.8125,112,0,49,887,876,3.5,0.125,80,3,17,80,1,53,80,443,200,2,1,1,1,1,1,319634,bayes,application_1540980293743_2268,bigdata
10,38,268,34,1,876,0.8125,0.5625,49,1,112,437,381,1.5,0.625,17,2,80,17,0,113,17,218,440,6,0,0,0,0,2,202432,bayes,application_1540980293743_2269,bigdata
5,26,72,10,0,814,0.96875,0.90625,88,0,25,268,71,1.25,0.0625,25,3,72,25,1,45,88,471,350,7,0,0,0,1,2,286831,bayes,application_1540980293743_2270,bigdata
13,7,214,31,1,319,0.71875,0.65625,25,1,88,718,566,3.25,0.5625,88,1,9,88,0,105,25,246,110,2,1,1,1,0,1,175390,bayes,application_1540980293743_2271,bigdata
1,35,143,42,0,71,0.59375,0.78125,57,1,120,493,814,4.25,0.3125,120,2,41,57,1,75,57,359,470,9,1,0,0,0,1,1176328,bayes,application_1540980293743_2272,bigdata
8,24,161,29,0,505,0.75,0.75,65,0,65,550,505,3,0.5,65,2,65,65,0,68,65,275,260,5,0,0,0,0,2,205375,bayes,#,bigdata
12,33,161,18,0,257,0.625,0.75,33,0,33,550,752,4,0.75,96,1,65,65,0,68,65,162,380,3,0,1,0,1,2,217426,bayes,application_1545539568116_0005,bigdata
4,14,161,39,0,752,0.875,0.75,96,0,96,550,257,2,0.25,33,3,65,65,0,68,65,387,140,7,1,0,0,0,2,179324,bayes,application_1545539568116_0006,bigdata
14,28,161,23,0,133,0.6875,0.75,80,0,49,550,628,2.5,0.125,112,1,65,65,0,68,65,443,200,2,1,1,0,0,2,165245,bayes,application_1545539568116_0007,bigdata
6,9,161,44,0,628,0.9375,0.75,17,0,112,550,133,4.5,0.625,49,2,65,65,0,68,65,218,440,6,0,0,0,1,2,158619,bayes,application_1545539568116_0008,bigdata
2,19,161,13,0,381,0.5625,0.75,112,0,17,550,381,3.5,0.875,17,2,65,65,0,68,65,331,320,4,1,0,0,1,2,337916,bayes,application_1545539568116_0009,bigdata
10,38,161,34,0,876,0.8125,0.75,49,0,80,550,876,1.5,0.375,80,3,65,65,0,68,65,106,80,8,0,1,0,0,2,196566,bayes,application_1545539568116_0010,bigdata
9,16,161,21,0,566,0.53125,0.75,120,0,88,550,814,3.75,0.0625,9,3,65,65,0,68,65,134,110,2,0,0,0,1,2,162517,bayes,application_1545539568116_0011,bigdata
1,35,161,42,0,71,0.78125,0.75,57,0,25,550,319,1.75,0.5625,72,1,65,65,0,68,65,359,350,7,1,1,0,0,2,1144377,bayes,application_1545539568116_0012,bigdata
5,26,161,10,0,814,0.65625,0.75,88,0,120,550,71,2.75,0.8125,104,3,65,65,0,68,65,246,470,4,0,1,0,0,2,265778,bayes,application_1545539568116_0013,bigdata
